"Risk Owner","Risk & Impact Description","Likelihood-Inherent","Impact-Inherent","Criticality-Inherent","Controls","Likelihood-Residual","Impact-Residual","Criticality-Residual","Governing P&Ps","ERM Dashboard Metric","Risk Category","Included in BIA","Modified","Created","Created By"
"Compliance","Ineffective communications surveillance (eComms/trading)","Possible","Moderate","Medium","eComms monitoring tools, training, documented procedures.","Unlikely","Moderate","Medium","Compliance - 36 - Code of Conduct Policy
Compliance - 9 - Market Conduct Policy
Compliance - 23 - Compliance Manual","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 5:07 AM","7/16/2025 1:55 AM","Shelly Harding"
"Compliance","Outdated or inconsistent policies &amp; procedures may lead to non-compliance with current regulatory requirements","Likely","Moderate","Medium High","Policy lifecycle management, annual reviews, approvals.","Possible","Moderate","Medium","Compliance - 6 - Regulatory Change Management
Compliance - 23 - Compliance Manual","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 9:35 PM","7/16/2025 1:55 AM","Shelly Harding"
"Compliance","Ineffective implementation of Compliance Monitoring Plan (CMP) may allow risks to go undetected","Likely","Moderate","Medium High","CMP schedule, issue logging & remediation tracking.","Possible","Moderate","Medium","Compliance - 40 - Compliance Monitoring Program","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 9:35 PM","7/16/2025 1:55 AM","Shelly Harding"
"Compliance","Inadequate training may result in staff being unaware of regulatory obligations or internal controls","Likely","Moderate","Medium High","Training Policy, mandatory onboarding and refresher training, tracking system.","Possible","Moderate","Medium","Compliance - 38 - Training Policy
Compliance-02-AML-CFT Policy
Compliance - 23 - Compliance Manual","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 9:35 PM","7/16/2025 1:55 AM","Shelly Harding"
"Compliance","Failure to handle customer complaints in a timely and fair manner may result in regulatory breaches or loss of trust","Possible","Moderate","Medium","Complaint Management Policy, designated response timelines, escalation procedure.","Unlikely","Moderate","Medium","Compliance - 23 - Compliance Manual
Compliance - 36 - Code of Conduct Policy
Compliance - 10 - Complaint Management Policy
Compliance - 34 - Incident Management and Reporting Procedure
Compliance - 15 - Whisleblowing Policy","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 9:35 PM","7/16/2025 1:55 AM","Shelly Harding"
"Compliance","Uncollected Fees","Possible","Moderate","Medium","Reviews the invoice register periodically to identify overdue receivables. Follow-ups are conducted with customers, and unresolved cases are escalated to Sales or Management","Unlikely","Moderate","Medium","FIN-03 - Policy on Accounts Receivable and Collection","Specify if there is a metric to monitor this risk","Financial","False","10/16/2025 6:14 PM","9/9/2025 7:15 PM","Calreen Chan"
"Compliance","Undetected fraud in customer onboarding or transactions","Possible","Major","Medium High","Fraud Prevention Policy, Risk Scoring, Screening & Ongoing Due Diligence.","Unlikely","Minor","Low","Compliance-01-AML-CFT Governance Framework_Final
Compliance-02-AML-CFT Policy
Compliance - 3 - EWRA
Compliance - 21 - Sanction Policy
Compliance - 22 - CDD Procedure
Compliance - 23 - Compliance Manual
Compliance - 25 - Source of Wealth and Source of Funds Procedure
Compliance - 27 - Financial Crime Manual
Compliance - 29 - Sanction Handling Procedure
Compliance - 30 - Suspicious Transaction Reporting Procedure
Compliance - 40 - Compliance Monitoring Program
Compliance - 42 - Transaction Monitoring Policy
Compliance - 46 - AML/CFT Risk Appetite Statement
Compliance - 47 - Wallet Screening Threshold Review Procedure
Compliance - 12 - Fraud Prevention Policy
Compliance - 15 - Whisleblowing Policy","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 9:35 PM","7/15/2025 11:06 PM","Shelly Harding"
"Compliance","Breach or Failure to detect AML/CFT violations (incl. sanction) leading to regulatory sanctions","Possible","Major","Medium High","AML-CFT Policy, Transaction Monitoring, STR Procedure, Screening tools (e.g., Elliptic)","Unlikely","Major","Medium","Compliance-01-AML-CFT Governance Framework_Final
Compliance-02-AML-CFT Policy_Final
Compliance - 3 - EWRA
Compliance - 21 - Sanction Policy_Final
Compliance - 22 - CDD Procedure
Compliance - 23 - Compliance Manual
Compliance - 25 - Source of Wealth and Source of Funds Procedure
Compliance - 27 - Financial Crime Manual
Compliance - 29 - Sanction Handling Procedure
Compliance - 30 - Suspicious Transaction Reporting Procedure
Compliance - 40 - Compliance Monitoring Program
Compliance - 41 - Travel Rule Procedure
Compliance - 42 - Transaction Monitoring Policy
Compliance - 46 - AML/CFT Risk Appetite Statement
Compliance - 47 - Wallet Screening Threshold Review Procedure","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 5:08 AM","7/15/2025 10:31 PM","Shelly Harding"
"Compliance","Bribery or corruption by staff or related entities","Unlikely","Major","Medium","Anti-Bribery and Corruption Policy, whistleblowing hotline, third-party due diligence.","Rare","Major","Medium","Compliance - 23 - Compliance Manual
Compliance - 36 - Code of Conduct Policy
Compliance - 14 - Anti-Bribery and Corruption Policy
Compliance - 15 - Whisleblowing Policy
Compliance - 16 - Conflict of Interest Policy","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 5:08 AM","7/16/2025 1:50 AM","Shelly Harding"
"Compliance","Market abuse (e.g., insider trading) not detected","Possible","Major","Medium High","Market surveillance tools, code of conduct, PAD declarations.","Unlikely","Major","Medium","Compliance - 36 - Code of Conduct Policy
Compliance - 9 - Market Conduct Policy
Compliance - 23 - Compliance Manual
Compliance - 15 - Whisleblowing Policy
Compliance - 18 - Personal Account Dealing Policy","Specify if there is a metric to monitor this risk","Compliance/Regulatory","False","10/16/2025 5:09 AM","7/16/2025 1:55 AM","Shelly Harding"
